"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"107",0.3,1e-03,2,105.566666666667,11.5333333333333,10,2,9,100,8e+05
"108",0.4,1e-03,2,87.1,13.7333333333333,10,2,9,100,8e+05
"109",0.1,1e-03,1,142.266666666667,0,10,2,9,100,8e+05
"110",0.2,1e-03,1,142.1,0,10,2,9,100,8e+05
"111",0.3,1e-03,2,131.8,2.6,10,2,9,100,8e+05
"112",0.4,1e-03,2,110.566666666667,9.4,10,2,9,100,8e+05
"113",0.1,1e-03,1,141.1,0,10,2,9,100,8e+05
"114",0.2,1e-03,1,143.733333333333,0,10,2,9,100,8e+05
"115",0.3,1e-03,2,120.633333333333,6.56666666666667,10,2,9,100,8e+05
"116",0.4,1e-03,2,106.933333333333,8.2,10,2,9,100,8e+05
"117",0.1,1e-03,1,144.1,0,10,2,9,100,8e+05
"118",0.2,1e-03,1,144.2,0,10,2,9,100,8e+05
"119",0.3,1e-03,2,138.333333333333,1.73333333333333,10,2,9,100,8e+05
"120",0.4,1e-03,2,89.7333333333333,15.5666666666667,10,2,9,100,8e+05
"121",0.1,1e-03,1,149.033333333333,0,10,2,9,100,8e+05
"122",0.2,1e-03,2,136.166666666667,1.6,10,2,9,100,8e+05
"123",0.3,1e-03,2,110.6,10.4333333333333,10,2,9,100,8e+05
"124",0.4,1e-03,2,132.5,2.36666666666667,10,2,9,100,8e+05
"125",0.1,1e-03,1,142.433333333333,0,10,2,9,100,8e+05
"126",0.2,1e-03,1,141.866666666667,0,10,2,9,100,8e+05
"127",0.3,1e-03,2,133.1,2.2,10,2,9,100,8e+05
"128",0.4,1e-03,2,102.6,11.0333333333333,10,2,9,100,8e+05
"129",0.1,1e-03,1,138.433333333333,0,10,2,9,100,8e+05
"130",0.2,1e-03,2,132.6,2.73333333333333,10,2,9,100,8e+05
"131",0.3,1e-03,2,123.9,3.56666666666667,10,2,9,100,8e+05
"132",0.4,1e-03,2,132.466666666667,3.36666666666667,10,2,9,100,8e+05
"133",0.1,1e-03,1,142.166666666667,0,10,2,9,100,8e+05
"134",0.2,1e-03,2,140.333333333333,2.23333333333333,10,2,9,100,8e+05
"135",0.3,1e-03,2,134.7,2.56666666666667,10,2,9,100,8e+05
"136",0.4,1e-03,2,118.3,5.96666666666667,10,2,9,100,8e+05
"137",0.1,1e-03,1,137.833333333333,0,10,2,9,100,8e+05
"138",0.2,1e-03,2,137.166666666667,1.93333333333333,10,2,9,100,8e+05
"139",0.3,1e-03,2,85.8,14.8333333333333,10,2,9,100,8e+05
"140",0.4,1e-03,2,96.0666666666667,14.1666666666667,10,2,9,100,8e+05
"141",0.1,1e-03,1,140.433333333333,0,10,2,9,100,8e+05
"142",0.2,1e-03,2,133.8,0.966666666666667,10,2,9,100,8e+05
"143",0.3,1e-03,2,102.866666666667,10.0333333333333,10,2,9,100,8e+05
"144",0.4,1e-03,2,99.5666666666667,9.53333333333333,10,2,9,100,8e+05
"145",0.1,1e-03,1,141.933333333333,0,10,2,9,100,8e+05
"146",0.2,1e-03,2,141.933333333333,0.433333333333333,10,2,9,100,8e+05
"147",0.3,1e-03,2,135.066666666667,2.16666666666667,10,2,9,100,8e+05
"148",0.4,1e-03,2,67.1,20.3,10,2,9,100,8e+05
"149",0.1,1e-03,1,136.366666666667,0,10,2,9,100,8e+05
"150",0.2,1e-03,1,142.566666666667,0,10,2,9,100,8e+05
"151",0.3,1e-03,2,122.3,5.36666666666667,10,2,9,100,8e+05
"152",0.4,1e-03,2,87.2,14.5666666666667,10,2,9,100,8e+05
"153",0.1,1e-03,1,141.333333333333,0,10,2,9,100,8e+05
"154",0.2,1e-03,1,136.8,0,10,2,9,100,8e+05
"155",0.3,1e-03,2,120.4,4.9,10,2,9,100,8e+05
"156",0.4,1e-03,2,119.433333333333,7.53333333333333,10,2,9,100,8e+05
"157",0.1,1e-03,1,141.2,0,10,2,9,100,8e+05
"158",0.2,1e-03,1,137.2,0,10,2,9,100,8e+05
"159",0.3,1e-03,1,145.6,0,10,2,9,100,8e+05
"160",0.4,1e-03,2,133.666666666667,1.73333333333333,10,2,9,100,8e+05
"161",0.1,1e-03,1,146.766666666667,0,10,2,9,100,8e+05
"162",0.2,1e-03,1,138.066666666667,0,10,2,9,100,8e+05
"163",0.3,1e-03,1,141.5,0,10,2,9,100,8e+05
"164",0.4,1e-03,2,132.266666666667,1.9,10,2,9,100,8e+05
"165",0.1,1e-03,1,138.966666666667,0,10,2,9,100,8e+05
"166",0.2,1e-03,1,142.566666666667,0,10,2,9,100,8e+05
"167",0.3,1e-03,2,131.033333333333,2.7,10,2,9,100,8e+05
"168",0.4,1e-03,2,127.866666666667,1.7,10,2,9,100,8e+05
"169",0.1,1e-03,1,146.066666666667,0,10,2,9,100,8e+05
"170",0.2,1e-03,2,137.966666666667,2.13333333333333,10,2,9,100,8e+05
"171",0.3,1e-03,2,133.933333333333,1.96666666666667,10,2,9,100,8e+05
"172",0.4,1e-03,2,128.7,2.3,10,2,9,100,8e+05
"173",0.1,1e-03,1,137.233333333333,0,10,2,9,100,8e+05
"174",0.2,1e-03,1,138.466666666667,0,10,2,9,100,8e+05
"175",0.3,1e-03,1,143.3,0,10,2,9,100,8e+05
"176",0.4,1e-03,2,117.266666666667,7.36666666666667,10,2,9,100,8e+05
"177",0.1,1e-03,1,138.333333333333,0,10,2,9,100,8e+05
"178",0.2,1e-03,1,143.4,0,10,2,9,100,8e+05
"179",0.3,1e-03,2,114.933333333333,4.63333333333333,10,2,9,100,8e+05
"180",0.4,1e-03,2,88.6333333333333,11.5333333333333,10,2,9,100,8e+05
"181",0.1,1e-03,1,144.733333333333,0,10,2,9,100,8e+05
"182",0.2,1e-03,1,143.466666666667,0,10,2,9,100,8e+05
"183",0.3,1e-03,2,129.3,2.86666666666667,10,2,9,100,8e+05
"184",0.4,1e-03,2,122.4,5.53333333333333,10,2,9,100,8e+05
"185",0.1,1e-03,1,131.833333333333,0,10,2,9,100,8e+05
"186",0.2,1e-03,1,143.7,0,10,2,9,100,8e+05
"187",0.3,1e-03,2,125.8,3.23333333333333,10,2,9,100,8e+05
"188",0.4,1e-03,1,144.933333333333,0,10,2,9,100,8e+05
"189",0.1,1e-03,1,139.733333333333,0,10,2,9,100,8e+05
"190",0.2,1e-03,1,143,0,10,2,9,100,8e+05
"191",0.3,1e-03,2,94.2,10.2666666666667,10,2,9,100,8e+05
"192",0.4,1e-03,2,133.866666666667,1.93333333333333,10,2,9,100,8e+05
"193",0.1,1e-03,1,143.066666666667,0,10,2,9,100,8e+05
"194",0.2,1e-03,1,148,0,10,2,9,100,8e+05
"195",0.3,1e-03,2,122.1,2.16666666666667,10,2,9,100,8e+05
"196",0.4,1e-03,2,77.6,15.2,10,2,9,100,8e+05
"197",0.1,1e-03,1,141.8,0,10,2,9,100,8e+05
"198",0.2,1e-03,1,143.333333333333,0,10,2,9,100,8e+05
"199",0.3,1e-03,2,135.866666666667,2.76666666666667,10,2,9,100,8e+05
"200",0.4,1e-03,2,104.6,8.36666666666667,10,2,9,100,8e+05
"201",0.1,1e-03,1,146.6,0,10,2,9,100,8e+05
"202",0.2,1e-03,2,132.733333333333,0.933333333333333,10,2,9,100,8e+05
"203",0.3,1e-03,2,116.033333333333,6.63333333333333,10,2,9,100,8e+05
"204",0.4,1e-03,2,114.2,11.9666666666667,10,2,9,100,8e+05
"205",0.1,1e-03,1,143.9,0,10,2,9,100,8e+05
"206",0.2,1e-03,2,135.6,3.93333333333333,10,2,9,100,8e+05
"207",0.3,1e-03,2,104.233333333333,10.3666666666667,10,2,9,100,8e+05
"208",0.4,1e-03,2,50.3666666666667,25.3,10,2,9,100,8e+05
"209",0.1,1e-03,1,137.5,0,10,2,9,100,8e+05
"210",0.2,1e-03,2,134.366666666667,1.8,10,2,9,100,8e+05
"211",0.3,1e-03,2,123.6,4.3,10,2,9,100,8e+05
"212",0.4,1e-03,2,111.066666666667,7.76666666666667,10,2,9,100,8e+05
"213",0.1,1e-03,1,143.033333333333,0,10,2,9,100,8e+05
"214",0.2,1e-03,1,140.033333333333,0,10,2,9,100,8e+05
"215",0.3,1e-03,2,111.1,7.76666666666667,10,2,9,100,8e+05
"216",0.4,1e-03,2,116,6.76666666666667,10,2,9,100,8e+05
"217",0.1,1e-03,1,135.133333333333,0,10,2,9,100,8e+05
"218",0.2,1e-03,1,150.733333333333,0,10,2,9,100,8e+05
"219",0.3,1e-03,2,136.133333333333,2.43333333333333,10,2,9,100,8e+05
"220",0.4,1e-03,2,108.766666666667,9.6,10,2,9,100,8e+05
"221",0.1,1e-03,1,147.033333333333,0,10,2,9,100,8e+05
"222",0.2,1e-03,1,136.6,0,10,2,9,100,8e+05
"223",0.3,1e-03,2,120.533333333333,3.66666666666667,10,2,9,100,8e+05
"224",0.4,1e-03,1,144.533333333333,0,10,2,9,100,8e+05
"225",0.1,1e-03,1,142.933333333333,0,10,2,9,100,8e+05
"226",0.2,1e-03,1,144.666666666667,0,10,2,9,100,8e+05
"227",0.3,1e-03,1,154.833333333333,0,10,2,9,100,8e+05
"228",0.4,1e-03,2,75,17.0333333333333,10,2,9,100,8e+05
"229",0.1,1e-03,1,142.166666666667,0,10,2,9,100,8e+05
"230",0.2,1e-03,1,143.3,0,10,2,9,100,8e+05
"231",0.3,1e-03,2,97.4333333333333,13,10,2,9,100,8e+05
"232",0.4,1e-03,2,120.766666666667,7.63333333333333,10,2,9,100,8e+05
"233",0.1,1e-03,1,138.2,0,10,2,9,100,8e+05
"234",0.2,1e-03,1,140.033333333333,0,10,2,9,100,8e+05
"235",0.3,1e-03,2,133.466666666667,2.3,10,2,9,100,8e+05
"236",0.4,1e-03,2,130.8,6.03333333333333,10,2,9,100,8e+05
"237",0.1,1e-03,1,136.833333333333,0,10,2,9,100,8e+05
"238",0.2,1e-03,2,143.9,0.333333333333333,10,2,9,100,8e+05
"239",0.3,1e-03,2,98.6333333333333,8.06666666666667,10,2,9,100,8e+05
"240",0.4,1e-03,2,58.6333333333333,22.0333333333333,10,2,9,100,8e+05
"241",0.1,1e-03,1,141.3,0,10,2,9,100,8e+05
"242",0.2,1e-03,2,130.133333333333,3.83333333333333,10,2,9,100,8e+05
"243",0.3,1e-03,2,114.566666666667,9.1,10,2,9,100,8e+05
"244",0.4,1e-03,1,139.733333333333,0,10,2,9,100,8e+05
"245",0.1,1e-03,1,142.233333333333,0,10,2,9,100,8e+05
"246",0.2,1e-03,2,129.5,2.5,10,2,9,100,8e+05
"247",0.3,1e-03,2,100.333333333333,12.4666666666667,10,2,9,100,8e+05
"248",0.4,1e-03,2,86.3333333333333,13.3,10,2,9,100,8e+05
"249",0.1,1e-03,1,145.1,0,10,2,9,100,8e+05
"250",0.2,1e-03,2,147.5,0.3,10,2,9,100,8e+05
"251",0.3,1e-03,2,135.433333333333,2.03333333333333,10,2,9,100,8e+05
"252",0.4,1e-03,2,105.3,11.7,10,2,9,100,8e+05
"253",0.1,1e-03,1,137.766666666667,0,10,2,9,100,8e+05
"254",0.2,1e-03,1,146.433333333333,0,10,2,9,100,8e+05
"255",0.3,1e-03,2,110.4,7.9,10,2,9,100,8e+05
"256",0.4,1e-03,2,127.666666666667,5.7,10,2,9,100,8e+05
"257",0.1,1e-03,1,142.133333333333,0,10,2,9,100,8e+05
"258",0.2,1e-03,1,141.966666666667,0,10,2,9,100,8e+05
"259",0.3,1e-03,2,128.566666666667,4.26666666666667,10,2,9,100,8e+05
"260",0.4,1e-03,2,98.2333333333333,12.7,10,2,9,100,8e+05
"261",0.1,1e-03,1,142.566666666667,0,10,2,9,100,8e+05
"262",0.2,1e-03,1,138.433333333333,0,10,2,9,100,8e+05
"263",0.3,1e-03,2,125.5,5.2,10,2,9,100,8e+05
"264",0.4,1e-03,2,114.133333333333,6.46666666666667,10,2,9,100,8e+05
"265",0.1,1e-03,1,141,0,10,2,9,100,8e+05
"266",0.2,1e-03,1,137.1,0,10,2,9,100,8e+05
"267",0.3,1e-03,2,119.733333333333,6.8,10,2,9,100,8e+05
"268",0.4,1e-03,2,120.6,4.6,10,2,9,100,8e+05
"269",0.1,1e-03,1,140.5,0,10,2,9,100,8e+05
"270",0.2,1e-03,1,132.266666666667,0,10,2,9,100,8e+05
"271",0.3,1e-03,2,113.566666666667,6.16666666666667,10,2,9,100,8e+05
"272",0.4,1e-03,2,128.133333333333,2.06666666666667,10,2,9,100,8e+05
"273",0.1,1e-03,1,143.033333333333,0,10,2,9,100,8e+05
"274",0.2,1e-03,2,137.266666666667,1.6,10,2,9,100,8e+05
"275",0.3,1e-03,2,138.7,2.36666666666667,10,2,9,100,8e+05
"276",0.4,1e-03,2,108.333333333333,10.5666666666667,10,2,9,100,8e+05
"277",0.1,1e-03,2,139.4,0,10,2,9,100,8e+05
"278",0.2,1e-03,2,133.8,1.93333333333333,10,2,9,100,8e+05
"279",0.3,1e-03,2,132.9,3,10,2,9,100,8e+05
"280",0.4,1e-03,2,96.1333333333333,13.7,10,2,9,100,8e+05
"281",0.1,1e-03,1,137.433333333333,0,10,2,9,100,8e+05
"282",0.2,1e-03,1,140.7,0,10,2,9,100,8e+05
"283",0.3,1e-03,2,128.833333333333,3,10,2,9,100,8e+05
"284",0.4,1e-03,2,116.733333333333,4.86666666666667,10,2,9,100,8e+05
"285",0.1,1e-03,1,148.7,0,10,2,9,100,8e+05
"286",0.2,1e-03,1,139.7,0,10,2,9,100,8e+05
"287",0.3,1e-03,2,141.633333333333,1.46666666666667,10,2,9,100,8e+05
"288",0.4,1e-03,2,66.1,20.3666666666667,10,2,9,100,8e+05
"289",0.1,1e-03,1,148.466666666667,0,10,2,9,100,8e+05
"290",0.2,1e-03,2,139.233333333333,1.7,10,2,9,100,8e+05
"291",0.3,1e-03,2,123.7,4.26666666666667,10,2,9,100,8e+05
"292",0.4,1e-03,2,121.066666666667,7.33333333333333,10,2,9,100,8e+05
"293",0.1,1e-03,1,142.766666666667,0,10,2,9,100,8e+05
"294",0.2,1e-03,1,138.8,0,10,2,9,100,8e+05
"295",0.3,1e-03,2,133.333333333333,1.8,10,2,9,100,8e+05
"296",0.4,1e-03,2,108,9.36666666666667,10,2,9,100,8e+05
"297",0.1,1e-03,1,146.033333333333,0,10,2,9,100,8e+05
"298",0.2,1e-03,1,137.5,0,10,2,9,100,8e+05
"299",0.3,1e-03,2,123.4,3.23333333333333,10,2,9,100,8e+05
"300",0.4,1e-03,2,126.733333333333,4.9,10,2,9,100,8e+05
"301",0.1,1e-03,1,143.6,0,10,2,9,100,8e+05
"302",0.2,1e-03,2,144.466666666667,0,10,2,9,100,8e+05
"303",0.3,1e-03,1,139.3,0,10,2,9,100,8e+05
"304",0.4,1e-03,2,76.9666666666667,20.4333333333333,10,2,9,100,8e+05
"305",0.1,1e-03,1,135.133333333333,0,10,2,9,100,8e+05
"306",0.2,1e-03,1,148.7,0,10,2,9,100,8e+05
"307",0.3,1e-03,2,120.3,6.26666666666667,10,2,9,100,8e+05
"308",0.4,1e-03,2,120.033333333333,4,10,2,9,100,8e+05
"309",0.1,1e-03,1,136.766666666667,0,10,2,9,100,8e+05
"310",0.2,1e-03,2,131.133333333333,2.86666666666667,10,2,9,100,8e+05
"311",0.3,1e-03,2,99.8666666666667,10.6,10,2,9,100,8e+05
"312",0.4,1e-03,2,136.733333333333,2.66666666666667,10,2,9,100,8e+05
"313",0.1,1e-03,1,135.633333333333,0,10,2,9,100,8e+05
"314",0.2,1e-03,1,147.6,0,10,2,9,100,8e+05
"315",0.3,1e-03,2,120.233333333333,5.26666666666667,10,2,9,100,8e+05
"316",0.4,1e-03,2,115.733333333333,8.23333333333333,10,2,9,100,8e+05
"317",0.1,1e-03,1,139.3,0,10,2,9,100,8e+05
"318",0.2,1e-03,1,147.433333333333,0,10,2,9,100,8e+05
"319",0.3,1e-03,2,133.766666666667,1.8,10,2,9,100,8e+05
"320",0.4,1e-03,2,137.8,2.13333333333333,10,2,9,100,8e+05
"321",0.1,1e-03,1,141.1,0,10,2,9,100,8e+05
"322",0.2,1e-03,2,128.2,4.8,10,2,9,100,8e+05
"323",0.3,1e-03,2,107.066666666667,7.03333333333333,10,2,9,100,8e+05
"324",0.4,1e-03,1,146.933333333333,0,10,2,9,100,8e+05
"325",0.1,1e-03,1,144.266666666667,0,10,2,9,100,8e+05
"326",0.2,1e-03,1,138.566666666667,0,10,2,9,100,8e+05
"327",0.3,1e-03,2,123.7,5.2,10,2,9,100,8e+05
"328",0.4,1e-03,2,78.5,15.2666666666667,10,2,9,100,8e+05
"329",0.1,1e-03,1,142.266666666667,0,10,2,9,100,8e+05
"330",0.2,1e-03,2,139.033333333333,2.43333333333333,10,2,9,100,8e+05
"331",0.3,1e-03,2,118.766666666667,6.53333333333333,10,2,9,100,8e+05
"332",0.4,1e-03,2,121.4,6.46666666666667,10,2,9,100,8e+05
"333",0.1,1e-03,1,135.133333333333,0,10,2,9,100,8e+05
"334",0.2,1e-03,2,145.666666666667,0,10,2,9,100,8e+05
"335",0.3,1e-03,2,115.766666666667,7.13333333333333,10,2,9,100,8e+05
"336",0.4,1e-03,2,83.1333333333333,16.2,10,2,9,100,8e+05
"337",0.1,1e-03,1,146.566666666667,0,10,2,9,100,8e+05
"338",0.2,1e-03,2,130.8,1.03333333333333,10,2,9,100,8e+05
"339",0.3,1e-03,2,109.2,8.33333333333333,10,2,9,100,8e+05
"340",0.4,1e-03,2,106.166666666667,10.9333333333333,10,2,9,100,8e+05
"341",0.1,1e-03,1,145.066666666667,0,10,2,9,100,8e+05
"342",0.2,1e-03,2,139.733333333333,1.53333333333333,10,2,9,100,8e+05
"343",0.3,1e-03,2,122.8,3.83333333333333,10,2,9,100,8e+05
"344",0.4,1e-03,2,129.633333333333,1.93333333333333,10,2,9,100,8e+05
"345",0.1,1e-03,1,138.433333333333,0,10,2,9,100,8e+05
"346",0.2,1e-03,1,147.066666666667,0,10,2,9,100,8e+05
"347",0.3,1e-03,1,147.133333333333,0,10,2,9,100,8e+05
"348",0.4,1e-03,2,87.6666666666667,14.8,10,2,9,100,8e+05
"349",0.1,1e-03,1,140.8,0,10,2,9,100,8e+05
"350",0.2,1e-03,1,146.9,0,10,2,9,100,8e+05
"351",0.3,1e-03,2,101.333333333333,9.53333333333333,10,2,9,100,8e+05
"352",0.4,1e-03,2,90.0666666666667,14.8666666666667,10,2,9,100,8e+05
"353",0.1,1e-03,1,139.633333333333,0,10,2,9,100,8e+05
"354",0.2,1e-03,1,146.3,0,10,2,9,100,8e+05
"355",0.3,1e-03,2,120.8,5.03333333333333,10,2,9,100,8e+05
"356",0.4,1e-03,2,98.6,11.1333333333333,10,2,9,100,8e+05
"357",0.1,1e-03,1,148.233333333333,0,10,2,9,100,8e+05
"358",0.2,1e-03,2,135.1,1.7,10,2,9,100,8e+05
"359",0.3,1e-03,2,124.866666666667,4.86666666666667,10,2,9,100,8e+05
"360",0.4,1e-03,2,123.366666666667,5.9,10,2,9,100,8e+05
"361",0.1,1e-03,1,152.4,0,10,2,9,100,8e+05
"362",0.2,1e-03,1,141.1,0,10,2,9,100,8e+05
"363",0.3,1e-03,1,136.733333333333,0,10,2,9,100,8e+05
"364",0.4,1e-03,2,108.166666666667,8.46666666666667,10,2,9,100,8e+05
"365",0.1,1e-03,1,145.233333333333,0,10,2,9,100,8e+05
"366",0.2,1e-03,1,131.666666666667,0,10,2,9,100,8e+05
"367",0.3,1e-03,2,128.633333333333,4.43333333333333,10,2,9,100,8e+05
"368",0.4,1e-03,2,125.4,2.76666666666667,10,2,9,100,8e+05
"369",0.1,1e-03,1,138.366666666667,0,10,2,9,100,8e+05
"370",0.2,1e-03,2,143.066666666667,0.766666666666667,10,2,9,100,8e+05
